SPECIALTY ID,SPEC Name,SEC Name,SECTION ID
00000164-a695-d496-a1ef-b6957c3f0000,Nurse Practitioner,nurse practitioner,00000164-9536-dc5a-a9ec-d73ead950000
00000165-c57c-db51-adfd-ef7f6bac0000,Ambulatory Care Nurse,Ambulatory Care Nurse,00000165-8bf8-da8e-a3fd-8ffe5ba60000
00000165-c57c-db51-adfd-ef7f6cba0000,Burn Care Nurse,Burn Care Nurse,00000165-8cc6-dce2-a575-ccce6de30000
00000165-c57c-db51-adfd-ef7f6baf0000,Camp Nurse,Camp Nurse,00000165-9140-d801-ade5-d56cbb050000
00000165-c57c-db51-adfd-ef7f6bb20000,Cardiac Care Nurse,Cardiac Care Nurse,00000165-8b6c-dce2-a575-cfee2da70000
00000165-c57c-db51-adfd-ef7f6bb40000,Cardiac Cath Lab Nurse,Cardiac Cath Lab Nurse,00000165-9168-d801-ade5-d56ceda20000
00000165-c57c-db51-adfd-ef7f6bb70000,Case Management Nurse,Case Management Nurse,00000165-9177-d036-af6f-9b77fe7b0000
00000165-c57c-db51-adfd-ef7f6ba90000,Certified Nurse Midwife,Certified Nurse Midwife,00000165-8bb2-dce2-a575-cfbad6180000
00000165-c57c-db51-adfd-ef7f6bb90000,Clinical Nurse Leader,Clinical Nurse Leader,00000165-9191-d036-af6f-9bf17ea90000
00000165-c57c-db51-adfd-ef7f6bbc0000,Clinical Nurse Specialist,Clinical Nurse Specialist,00000165-c475-d566-ad75-ef7f61a40000
00000165-c57c-db51-adfd-ef7f6c990000,Correctional Facility Nurse,Correctional Facility Nurse,00000165-919a-d801-ade5-d5be129e0000
00000165-c57c-db51-adfd-ef7f6bdd0000,Critical Care Nurse,Critical Care Nurse,00000165-91de-d036-af6f-9bffa6320000
00000165-c57c-db51-adfd-ef7f6c380000,Dermatology Nurse,Dermatology Nurse,00000165-91ea-d036-af6f-9bfb7fba0000
00000165-c57c-db51-adfd-ef7f6c6c0000,Developmental Disability Nurse,Developmental Disability Nurse,00000165-91f4-d801-ade5-d5fc94330000
00000165-c57c-db51-adfd-ef7f6bc80000,Diabetes Nurse,Diabetes Nurse,00000165-8bb5-da8e-a3fd-8fb73d670000
00000165-c57c-db51-adfd-ef7f6c9b0000,Domestic Violence Nurse,Domestic Violence Nurse,00000165-8b56-dce2-a575-cfde0c8e0000
00000165-c57c-db51-adfd-ef7f6bdf0000,Emergency Nurse,Emergency Nurse,00000165-8bba-da8e-a3fd-8fbe1c940000
00000165-c57c-db51-adfd-ef7f6c850000,Family Nurse Practitioner,Family Nurse Practitioner,00000165-b01e-de08-a3ed-b47e88b90000
00000165-c57c-db51-adfd-ef7f6c9f0000,Flight/Transport Nurse,Flight Nurse,00000165-8c08-dce2-a575-cc8a90350000
00000165-c57c-db51-adfd-ef7f6be20000,Forensic Nurse,Forensic Nurse,00000165-909a-d24d-a3fd-d69a1f140000
00000165-c57c-db51-adfd-ef7f6be40000,Gastroenterology Nursing,Gastroenterology Nursing,00000165-90a7-de50-a1ed-91ff0ba90000
00000165-c57c-db51-adfd-ef7f6c3b0000,Genetics Nurse,Genetics Nurse,00000165-90bc-d24d-a3fd-d6becf6e0000
00000165-c57c-db51-adfd-ef7f6bd00000,Geriatric Nurse,Geriatric Nurse,00000165-90cd-de50-a1ed-91ffbaae0000
00000165-c57c-db51-adfd-ef7f6c880000,Gerontological Nurse Practitioner,Gerontological Nurse Practitioner,00000165-90e4-d801-ade5-d4ec5cb80000
00000165-c57c-db51-adfd-ef7f6ca70000,Health Policy Nurse,Health Policy Nurse,00000165-a5cf-d7b1-a567-bfff683c0000
00000165-c57c-db51-adfd-ef7f6be90000,Hematology Nurse,Hematology Nurse,00000165-a606-dcdb-af6f-affeef7f0000
00000165-c57c-db51-adfd-ef7f6c3d0000,HIV/AIDS Care Nurse,HIV/AIDS Nurse,00000165-a66e-d440-ab75-bfee19630000
00000165-c57c-db51-adfd-ef7f6bc50000,Holistic Nurse,Holistic Nurse,00000165-9107-d036-af6f-9b77a1470000
00000165-c57c-db51-adfd-ef7f6bec0000,Home Health Care Nurse,Home Health Nurse,00000165-8be0-da8e-a3fd-8ff68c720000
00000165-c57c-db51-adfd-ef7f6c350000,Hospice Nurse,Hospice Nurse,00000165-9266-dfcc-a77d-baefad650000
00000165-c57c-db51-adfd-ef7f6bee0000,Independent Nurse Contractor,Independent Nurse Contractor,00000165-9247-d036-af6f-9a77233f0000
00000165-c57c-db51-adfd-ef7f6c400000,Infection Control Nurse,Infection Control Nurse,00000165-a513-d4f5-ad77-e7bf36b10000
00000165-c57c-db51-adfd-ef7f6bf10000,Informatics Nurse,Informatics Nurse,00000165-a523-d4f5-ad77-e7bf4aa70000
00000165-c57c-db51-adfd-ef7f6c430000,Infusion Nurse,Infusion Nurse,00000165-a5fe-d440-ab75-bdfee4f90000
